sec,pos_x,pos_y,pos_z,x,y,z,w
1715337043.2345488,560.6459379196167,998.6683130264282,-942.0997500419617,0.006795097142457962,-0.018329951912164688,0.007361366413533688,0.9997817873954773
1715337043.334008,560.1021647453308,999.201774597168,-942.0174360275269,0.007411585655063391,-0.01757226325571537,0.007712334860116243,0.9997884631156921
1715337043.344383,558.8180422782898,998.809814453125,-941.7928457260132,0.0065412381663918495,-0.014204667881131172,0.00768877612426877,0.9998481869697571
1715337043.354713,557.4133992195129,998.5335469245911,-941.7032599449158,0.005991545505821705,-0.011325421743094921,0.007591539062559605,0.9998891949653625
1715337043.364014,556.3130974769592,998.4591603279114,-941.6317939758301,0.006112115923315287,-0.009397188201546669,0.007447903510183096,0.999909520149231
1715337043.374327,555.450439453125,998.3305931091309,-941.6231513023376,0.005481297615915537,-0.00811992771923542,0.0075518665835261345,0.9999235272407532
1715337043.383978,554.8080205917358,998.0515241622925,-941.6705965995789,0.00397056108340621,-0.00731542706489563,0.007912850007414818,0.9999340772628784
1715337043.393996,554.4857978820801,998.0195760726929,-941.7128562927246,0.003979337867349386,-0.006836279761046171,0.00835569016635418,0.9999338388442993
1715337043.404002,554.4257760047913,998.1451034545898,-941.7338967323303,0.003940882161259651,-0.007180884946137667,0.008485647849738598,0.9999305009841919
1715337043.4142668,554.5368194580078,998.3324408531189,-941.7012929916382,0.004119493532925844,-0.007652799598872662,0.00822859350591898,0.9999284148216248
1715337043.4239469,554.8728108406067,998.5471367835999,-941.6295289993286,0.004478180315345526,-0.008399640209972858,0.00799020566046238,0.9999228119850159
1715337043.434537,555.4175972938538,998.7745881080627,-941.5700435638428,0.004967718850821257,-0.009523038752377033,0.00786599237471819,0.999911367893219
1715337043.444238,556.1012029647827,998.9776015281677,-941.5929913520813,0.00550810806453228,-0.010924914851784706,0.007895052433013916,0.9998940229415894
1715337043.454241,556.7617416381836,999.0949034690857,-941.6648149490356,0.005617053247988224,-0.012209275737404823,0.007858963683247566,0.9998788833618164
1715337043.463976,557.378351688385,999.1899728775024,-941.7104721069336,0.005611517932265997,-0.013391273096203804,0.007831081748008728,0.9998639822006226
1715337043.4741468,557.8879714012146,999.265193939209,-941.7616724967957,0.005535312462598085,-0.014218109659850597,0.007705321069806814,0.9998539686203003
1715337043.483799,558.2324266433716,999.2662072181702,-941.8144226074219,0.005076622124761343,-0.014830799773335457,0.007534806616604328,0.9998487830162048
1715337043.4941869,558.4903955459595,999.2939829826355,-941.8424963951111,0.00518543366342783,-0.015023041516542435,0.007451436948031187,0.9998459815979004
1715337043.5041049,558.6159825325012,999.3025064468384,-941.8576955795288,0.005169912241399288,-0.014989865012466908,0.007405673153698444,0.999846875667572
1715337043.513851,558.6503148078918,999.2729425430298,-941.8697357177734,0.004973719362169504,-0.015040517784655094,0.00748467119410634,0.9998465180397034
1715337043.524129,558.6549639701843,999.2585778236389,-941.8615698814392,0.005327782593667507,-0.014763768762350082,0.0074769118800759315,0.9998489618301392
1715337043.533742,558.6147308349609,999.2126822471619,-941.8667554855347,0.005424703471362591,-0.014715408906340599,0.007525337859988213,0.9998486638069153
1715337043.5437849,558.5709810256958,999.131441116333,-941.8691992759705,0.005308256950229406,-0.014704860746860504,0.0075563048012554646,0.999849259853363
1715337043.5540318,558.5285425186157,999.0571737289429,-941.8577551841736,0.005246394779533148,-0.014443551190197468,0.007487963885068893,0.9998539686203003
1715337043.564082,558.4895014762878,998.989999294281,-941.8621063232422,0.0050821853801608086,-0.01429471280425787,0.007439134642481804,0.9998572468757629
1715337043.574051,558.4751963615417,998.9534020423889,-941.8671131134033,0.004898624494671822,-0.014269188977777958,0.007437222637236118,0.9998586177825928
1715337043.583663,558.5030317306519,998.9681839942932,-941.8762922286987,0.004992493893951178,-0.014277184382081032,0.007454111706465483,0.9998578429222107
1715337043.5939538,558.5718750953674,999.0049600601196,-941.8814778327942,0.005099174566566944,-0.014298923313617706,0.0074569350108504295,0.9998569488525391
1715337043.604238,558.6762428283691,999.0678429603577,-941.8948292732239,0.0052469815127551556,-0.01441890001296997,0.007511813659220934,0.9998541474342346
1715337043.613739,558.8159561157227,999.1415739059448,-941.9040083885193,0.005288357846438885,-0.014516174793243408,0.007549114990979433,0.999852180480957
1715337043.6239429,558.9649081230164,999.2071986198425,-941.9128894805908,0.005267285276204348,-0.0146200405433774,0.0075487131252884865,0.9998507499694824
1715337043.63394,559.0972304344177,999.2484450340271,-941.9286847114563,0.0051185367628932,-0.01477288268506527,0.0075348177924752235,0.9998493790626526
1715337043.643641,559.2087507247925,999.2808699607849,-941.9441819190979,0.005065916571766138,-0.014926516450941563,0.007526110857725143,0.9998474717140198
1715337043.6538959,559.2827796936035,999.2916584014893,-941.9592618942261,0.005012128967791796,-0.015019419603049755,0.007512541022151709,0.9998464584350586
1715337043.663609,559.322714805603,999.2883205413818,-941.9671297073364,0.00501486798748374,-0.015042265877127647,0.007502559572458267,0.9998462200164795
1715337043.6739168,559.336245059967,999.2852210998535,-941.9708847999573,0.005112816579639912,-0.014969216659665108,0.007506264373660088,0.9998467564582825
1715337043.6838539,559.3299269676208,999.2637038230896,-941.969096660614,0.005172764882445335,-0.01479367259889841,0.007511576171964407,0.9998490214347839
1715337043.6934829,559.3165755271912,999.2265701293945,-941.9671297073364,0.005164291709661484,-0.014620897360146046,0.007523817475885153,0.9998515248298645
1715337043.703845,559.3069791793823,999.1911053657532,-941.9661164283752,0.00513499416410923,-0.014490027911961079,0.007538855075836182,0.9998534917831421
