Format Version,1.23,Take Name,Take 2024-05-10 11.31.19 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-05-10 11.31.19.221 AM,Total Frames in Take,9420,Total Exported Frames,9420,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone,drone
,ID,"D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,w,X,Y,Z
946,7.883333,-0.000761,0.009233,0.010013,-0.999907,89.679047,222.885422,-144.060425
947,7.891667,-0.001788,0.008383,0.009604,-0.999917,89.904015,222.748276,-144.303497
948,7.900000,-0.002315,0.008542,0.009387,-0.999917,89.840034,222.654465,-144.513702
949,7.908333,-0.001954,0.007866,0.010049,-0.999917,89.763451,222.574738,-144.498322
950,7.916667,0.001268,0.006759,0.009089,-0.999935,90.238152,223.151627,-143.603119
951,7.925000,-0.003270,0.008824,0.008068,-0.999923,89.712608,222.817520,-144.668137
952,7.933333,-0.001831,0.008693,0.009408,-0.999916,89.912758,222.772522,-144.278854
953,7.941667,-0.000107,0.008425,0.011912,-0.999894,89.689102,222.766815,-143.945602
954,7.950000,-0.002046,0.008599,0.010954,-0.999901,89.548004,222.800491,-144.633698
955,7.958333,-0.001820,0.008336,0.010580,-0.999908,89.671310,222.562195,-144.515228
956,7.966667,-0.004667,0.009253,0.007418,-0.999919,89.826584,222.905075,-144.973663
957,7.975000,-0.002159,0.009221,0.010677,-0.999898,89.527695,222.821625,-144.623199
958,7.983333,-0.001578,0.008665,0.011102,-0.999900,89.694237,222.815170,-144.494446
959,7.991667,-0.003110,0.008848,0.009237,-0.999913,89.803627,222.767975,-144.847778
960,8.000000,-0.001414,0.007970,0.010632,-0.999911,89.968811,222.843521,-144.548325
961,8.008333,-0.004676,0.009553,0.007487,-0.999915,89.901733,222.908264,-144.993713
962,8.016667,-0.002122,0.009130,0.010837,-0.999897,89.560806,222.854416,-144.634338
963,8.025000,-0.000714,0.009049,0.010825,-0.999900,89.671417,223.038284,-144.206512
964,8.033333,-0.003675,0.009646,0.008347,-0.999912,90.238098,222.789169,-144.777344
965,8.041667,-0.003694,0.009512,0.008296,-0.999914,90.164734,222.810440,-144.709564
966,8.050000,,,,,,,
967,8.058333,0.001572,0.005724,0.008605,-0.999945,90.240433,223.115845,-143.361694
968,8.066667,-0.001732,0.009249,0.011164,-0.999893,89.567650,222.835892,-144.548111
969,8.075000,-0.003292,0.009778,0.008625,-0.999910,90.161766,222.858368,-144.710449
970,8.083333,-0.003840,0.009516,0.008163,-0.999914,90.112846,222.822296,-144.703873
971,8.091667,-0.002198,0.009535,0.009813,-0.999904,90.160294,223.018921,-144.326691
972,8.100000,-0.002358,0.008627,0.010736,-0.999902,89.771362,222.721924,-144.707123
973,8.108333,-0.001604,0.008737,0.011015,-0.999900,89.705421,222.844757,-144.493698
974,8.116667,-0.003286,0.009616,0.008712,-0.999910,90.131584,222.831314,-144.694962
975,8.125000,-0.003606,0.009168,0.008472,-0.999916,90.059204,222.854202,-144.649063
976,8.133333,-0.002063,0.008974,0.009888,-0.999909,90.223099,223.073227,-144.330276
977,8.141667,-0.001848,0.007982,0.010441,-0.999912,89.922981,222.866196,-144.637283
978,8.150000,-0.001627,0.008045,0.012088,-0.999893,89.813629,222.862198,-144.533401
979,8.158333,-0.002018,0.009269,0.009784,-0.999907,89.787331,222.683670,-144.405609
980,8.166667,-0.001931,0.010282,0.009851,-0.999897,89.790131,223.020691,-144.414368
981,8.175000,-0.004911,0.008621,0.007324,-0.999924,90.074394,222.877975,-145.060455
982,8.183333,-0.002090,0.008532,0.010838,-0.999903,89.759636,222.808655,-144.672424
983,8.191667,-0.001514,0.008056,0.010737,-0.999909,89.828255,222.583374,-144.416580
984,8.200000,0.001793,0.008394,0.008411,-0.999928,90.378494,223.193710,-143.405075
985,8.208333,-0.001142,0.008749,0.011008,-0.999901,89.643364,222.651199,-144.523804
986,8.216667,-0.004681,0.008683,0.007342,-0.999924,90.010056,222.896881,-144.993469
987,8.225000,-0.001649,0.007861,0.010064,-0.999917,89.846596,222.703430,-144.402222
988,8.233333,-0.000617,0.007789,0.010441,-0.999915,89.981087,222.811676,-144.141861
989,8.241667,-0.001430,0.008452,0.010009,-0.999913,89.968674,222.726593,-144.156509
990,8.250000,,,,,,,
991,8.258333,-0.003258,0.008775,0.008244,-0.999922,89.731857,222.797867,-144.673111
992,8.266667,-0.001955,0.008460,0.009638,-0.999916,89.934059,222.717850,-144.311462
993,8.275000,-0.000995,0.008098,0.009615,-0.999921,89.995583,222.627487,-144.030930
994,8.283333,-0.003268,0.007658,0.010652,-0.999909,89.940323,222.105667,-144.389206
995,8.291667,0.001400,0.006714,0.009304,-0.999933,90.260941,223.148941,-143.627075
996,8.300000,-0.001616,0.008549,0.009816,-0.999914,89.863091,222.746124,-144.285736
997,8.308333,-0.001249,0.008881,0.009898,-0.999911,89.776794,222.795364,-144.171036
998,8.316667,-0.004085,0.007857,0.007184,-0.999935,89.941101,222.736542,-144.780563
999,8.325000,-0.001656,0.007981,0.010270,-0.999914,89.667084,222.615662,-144.439758
1000,8.333333,-0.001260,0.007947,0.011003,-0.999907,89.697639,222.601425,-144.314026
1001,8.341667,-0.000932,0.008639,0.010310,-0.999909,89.731140,222.793976,-144.081451
1002,8.350000,-0.001323,0.008521,0.010869,-0.999904,89.433701,222.635147,-144.420212
1003,8.358333,-0.001661,0.008205,0.009951,-0.999915,89.807373,222.705368,-144.339951
1004,8.366667,-0.001810,0.008029,0.009739,-0.999919,89.912895,222.690201,-144.309769
1005,8.375000,-0.000208,0.007375,0.010282,-0.999920,90.051918,222.926788,-144.014450
1006,8.383333,-0.001290,0.007595,0.011463,-0.999905,89.696251,222.746994,-144.475586
1007,8.391667,-0.001038,0.008147,0.010939,-0.999906,89.591888,222.705582,-144.291107
1008,8.400000,-0.000634,0.008289,0.010558,-0.999910,89.462006,222.940643,-144.157883
1009,8.408333,-0.001305,0.007940,0.010888,-0.999908,89.684753,222.665710,-144.413895
1010,8.416667,-0.004051,0.007616,0.007203,-0.999937,89.946404,222.734482,-144.762985
1011,8.425000,-0.002166,0.007985,0.009818,-0.999918,89.895485,222.603470,-144.401657
1012,8.433333,-0.000095,0.007840,0.010132,-0.999918,89.885071,222.684799,-143.882935
1013,8.441667,-0.001569,0.008423,0.010509,-0.999908,89.477242,222.664307,-144.451447
1014,8.450000,-0.001108,0.007845,0.010736,-0.999911,89.716919,222.720856,-144.285950
1015,8.458333,-0.001953,0.008154,0.009849,-0.999916,89.813606,222.635971,-144.455887
1016,8.466667,-0.001034,0.007499,0.010542,-0.999916,89.868172,222.759155,-144.381699
1017,8.475000,-0.000811,0.007416,0.011612,-0.999905,89.874771,222.766266,-144.330872
1018,8.483333,-0.001412,0.008678,0.010663,-0.999905,89.584663,222.711441,-144.334167
1019,8.491667,-0.004722,0.007844,0.008080,-0.999925,89.723808,223.020538,-144.987015
1020,8.500000,-0.001627,0.007906,0.010500,-0.999912,89.694756,222.622787,-144.469437
1021,8.508333,-0.001106,0.007753,0.010922,-0.999910,89.773071,222.681442,-144.279968
1022,8.516667,-0.002177,0.007973,0.009927,-0.999917,89.904465,222.563492,-144.485428
1023,8.525000,0.001279,0.006475,0.009589,-0.999932,90.330025,223.155411,-143.676788
1024,8.533333,-0.003401,0.007970,0.007902,-0.999931,89.900238,222.792953,-144.662918
1025,8.541667,-0.001633,0.008213,0.010230,-0.999913,89.807426,222.705688,-144.369247
1026,8.550000,0.000364,0.007340,0.010070,-0.999922,90.074425,222.752823,-143.775177
1027,8.558333,-0.001358,0.007412,0.010230,-0.999919,89.893181,222.720535,-144.444168
1028,8.566667,-0.000944,0.007498,0.011755,-0.999902,89.791061,222.714233,-144.386703
1029,8.575000,-0.001170,0.008678,0.010680,-0.999905,89.640533,222.711441,-144.218140
1030,8.583333,-0.000491,0.008594,0.010979,-0.999903,89.476288,222.904770,-144.174255
1031,8.591667,-0.004082,0.007412,0.007066,-0.999939,90.036179,222.727615,-144.789383
1032,8.600000,-0.001513,0.008011,0.010301,-0.999914,89.794334,222.734070,-144.254333
1033,8.608333,-0.004513,0.007324,0.007046,-0.999938,90.000526,222.639542,-144.843475
1034,8.616667,0.001144,0.006235,0.009183,-0.999938,90.254868,223.208908,-143.632126
1035,8.625000,0.000117,0.008239,0.012200,-0.999892,89.596062,222.794876,-143.927872
1036,8.633333,-0.001554,0.007926,0.010519,-0.999912,89.622490,222.641739,-144.452988
1037,8.641667,-0.001125,0.007686,0.010996,-0.999909,89.742302,222.686768,-144.296341
1038,8.650000,-0.002121,0.006847,0.009557,-0.999929,89.769951,222.723846,-144.634750
1039,8.658333,-0.003096,0.007827,0.011648,-0.999897,89.560013,222.080902,-144.721512
1040,8.666667,-0.003354,0.008262,0.008373,-0.999925,89.677780,222.800827,-144.693558
1041,8.675000,-0.000808,0.008534,0.010790,-0.999905,89.651703,222.833435,-144.138123
1042,8.683333,-0.004242,0.007293,0.007036,-0.999940,90.016663,222.771088,-144.809662
1043,8.691667,-0.001652,0.007879,0.010629,-0.999911,89.579979,222.638168,-144.437073
1044,8.700000,0.000125,0.008451,0.013229,-0.999877,89.510414,222.679642,-143.974060
1045,8.708333,-0.001444,0.007951,0.010548,-0.999912,89.603249,222.696686,-144.406036
1046,8.716667,-0.001029,0.007998,0.011148,-0.999905,89.550812,222.726471,-144.306168
1047,8.725000,-0.001261,0.007942,0.010473,-0.999913,89.790352,222.771851,-144.224686
1048,8.733333,-0.001259,0.007897,0.011103,-0.999906,89.607704,222.634750,-144.389786
1049,8.741667,-0.002147,0.007797,0.010209,-0.999915,89.826706,222.533752,-144.444550
1050,8.750000,0.001808,0.007373,0.009067,-0.999930,90.276627,223.126923,-143.416428
1051,8.758333,-0.003396,0.008281,0.008504,-0.999924,89.655563,222.829956,-144.712830
1052,8.766667,-0.001535,0.008008,0.010339,-0.999913,89.864868,222.730621,-144.289337
1053,8.775000,-0.004234,0.007553,0.007551,-0.999934,89.925545,222.775986,-144.812973
1054,8.783333,-0.001181,0.007257,0.010409,-0.999919,89.900734,222.805130,-144.341614
1055,8.791667,-0.000097,0.008628,0.013696,-0.999869,89.419861,222.625839,-144.084549
1056,8.800000,-0.001436,0.007931,0.010753,-0.999910,89.661568,222.752350,-144.402435
1057,8.808333,-0.001061,0.008167,0.011271,-0.999903,89.586487,222.728027,-144.321747
1058,8.816667,-0.001398,0.007588,0.011016,-0.999910,89.685211,222.726913,-144.428619
1059,8.825000,-0.001332,0.007886,0.011168,-0.999906,89.698303,222.674805,-144.420670
1060,8.833333,-0.002448,0.008014,0.010201,-0.999913,89.863464,222.629547,-144.585312
1061,8.841667,0.002062,0.007365,0.008820,-0.999932,90.371597,223.134171,-143.344528
1062,8.850000,-0.002092,0.008700,0.010429,-0.999906,89.755440,222.779724,-144.564224
1063,8.858333,-0.001297,0.008220,0.011785,-0.999896,89.811745,222.784225,-144.641312
1064,8.866667,,,,,,,
1065,8.875000,-0.003445,0.008173,0.009171,-0.999919,90.011627,222.977600,-144.718506
1066,8.883333,-0.007512,0.007795,0.008380,-0.999906,90.024925,222.187363,-145.596359
1067,8.891667,-0.001710,0.008295,0.011884,-0.999894,89.246841,222.847046,-144.540909
1068,8.900000,-0.002299,0.008257,0.010958,-0.999903,89.715904,222.941772,-144.666458
1069,8.908333,-0.001874,0.007854,0.011173,-0.999905,89.697090,222.761063,-144.589035
1070,8.916667,-0.000645,0.008596,0.013145,-0.999876,89.390877,222.796585,-144.314301
1071,8.925000,-0.002189,0.008014,0.011485,-0.999900,89.586510,222.653687,-144.696075
1072,8.933333,-0.001096,0.008281,0.011943,-0.999894,89.485764,222.868774,-144.421478
1073,8.941667,0.000954,0.007619,0.009471,-0.999926,89.850349,223.264297,-143.654800
1074,8.950000,-0.001382,0.008098,0.011819,-0.999896,89.538307,222.784805,-144.502289
1075,8.958333,-0.002233,0.007900,0.010389,-0.999912,89.793274,222.795425,-144.621735
1076,8.966667,-0.001675,0.007956,0.011676,-0.999899,89.607414,222.700745,-144.530869
1077,8.975000,0.001871,0.006771,0.008463,-0.999940,90.302483,223.106674,-143.105118
1078,8.983333,-0.001483,0.008542,0.011839,-0.999892,89.375847,222.794022,-144.526077
1079,8.991667,-0.002084,0.008276,0.010808,-0.999905,89.659454,222.818451,-144.601028
1080,9.000000,-0.001346,0.007727,0.011685,-0.999901,89.668411,222.793381,-144.492798
1081,9.008333,-0.002387,0.007695,0.010081,-0.999917,89.922913,222.816711,-144.739548
1082,9.016667,-0.003786,0.007882,0.012556,-0.999883,89.528564,222.050644,-144.965515
1083,9.025000,-0.001887,0.008696,0.011285,-0.999897,89.477730,222.799576,-144.584137
1084,9.033333,-0.004548,0.007800,0.007635,-0.999930,89.869621,222.904053,-144.968903
1085,9.041667,-0.002555,0.007774,0.010103,-0.999916,89.804871,222.869217,-144.770477
1086,9.050000,-0.001290,0.007561,0.011363,-0.999906,89.761093,222.818314,-144.558304
1087,9.058333,-0.005555,0.007269,0.007006,-0.999934,89.929359,222.772339,-145.312912
1088,9.066667,-0.001405,0.008264,0.011686,-0.999897,89.505272,222.803452,-144.534317
1089,9.075000,-0.000754,0.009062,0.011709,-0.999890,89.322090,223.048126,-144.342667
1090,9.083333,-0.001436,0.007822,0.011668,-0.999900,89.679413,222.778015,-144.535629
1091,9.091667,-0.004048,0.007706,0.008282,-0.999928,89.847900,222.913940,-145.034607
1092,9.100000,-0.001650,0.007817,0.011719,-0.999899,89.637718,222.683395,-144.587601
1093,9.108333,-0.001868,0.008423,0.011103,-0.999901,89.611626,222.821869,-144.581161
1094,9.116667,0.001194,0.006309,0.009820,-0.999931,90.166138,222.806061,-143.516083
1095,9.125000,0.001930,0.006263,0.009864,-0.999930,90.244667,222.706329,-143.298569
1096,9.133333,-0.004999,0.007569,0.007675,-0.999929,89.945885,222.757584,-145.063446
1097,9.141667,-0.002407,0.007888,0.011058,-0.999905,89.760231,222.673141,-144.642624
1098,9.150000,0.001963,0.005555,0.009389,-0.999939,90.437073,223.046707,-143.318619
1099,9.158333,-0.001724,0.008181,0.011116,-0.999903,89.619476,222.828888,-144.544785
1100,9.166667,-0.001261,0.007780,0.011800,-0.999899,89.613396,222.756744,-144.471878
1101,9.175000,0.000712,0.007693,0.011341,-0.999906,89.935600,222.720779,-143.614182
1102,9.183333,-0.000092,0.006624,0.010836,-0.999919,89.983612,222.843292,-144.015350
1103,9.191667,0.002379,0.008984,0.008513,-0.999921,90.580559,222.898331,-143.503220
1104,9.200000,-0.000797,0.008022,0.011259,-0.999904,89.763588,222.752930,-144.219254
1105,9.208333,-0.001090,0.008141,0.010931,-0.999907,89.719772,222.762390,-144.300537
1106,9.216667,0.001406,0.006057,0.009945,-0.999931,90.235771,222.782501,-143.431320
1107,9.225000,-0.001561,0.007558,0.011412,-0.999905,89.960403,222.831970,-144.363892
1108,9.233333,-0.001079,0.008109,0.011884,-0.999896,89.813309,222.589676,-144.325577
1109,9.241667,-0.001279,0.007952,0.011006,-0.999907,89.734848,222.754593,-144.403183
1110,9.250000,-0.004346,0.007566,0.008212,-0.999928,89.969513,222.786987,-144.782928
1111,9.258333,-0.001354,0.007595,0.010979,-0.999910,89.820457,222.748825,-144.350006
1112,9.266667,-0.001740,0.007685,0.010537,-0.999914,89.931786,222.716019,-144.415100
1113,9.275000,-0.002110,0.007861,0.010612,-0.999911,89.890678,222.529053,-144.446640
1114,9.283333,-0.001835,0.007975,0.011118,-0.999905,89.843361,222.603683,-144.283264
1115,9.291667,-0.001822,0.008115,0.010788,-0.999907,89.801521,222.617233,-144.404144
1116,9.300000,-0.003492,0.007601,0.008143,-0.999932,90.006218,222.844742,-144.726898
1117,9.308333,-0.001136,0.007618,0.011332,-0.999906,89.860786,222.676743,-144.397171
1118,9.316667,-0.001841,0.007575,0.009997,-0.999920,90.062645,222.739594,-144.560654
1119,9.325000,-0.001614,0.007732,0.011757,-0.999900,89.735985,222.582672,-144.514862
1120,9.333333,-0.000067,0.008784,0.012728,-0.999880,89.672302,222.758392,-143.858765
1121,9.341667,0.000281,0.008869,0.011539,-0.999894,89.678024,223.203079,-143.873459
1122,9.350000,-0.002070,0.008075,0.011879,-0.999895,89.828300,222.792206,-144.676758
1123,9.358333,-0.001073,0.007983,0.012409,-0.999891,89.652824,222.787399,-144.433105
1124,9.366667,-0.001860,0.007704,0.011814,-0.999899,89.736832,222.769516,-144.580536
1125,9.375000,-0.003156,0.008521,0.011710,-0.999890,89.664726,222.872406,-144.805481
1126,9.383333,-0.002874,0.008214,0.010461,-0.999907,89.650375,222.867996,-144.574814
1127,9.391667,-0.004821,0.007343,0.007875,-0.999930,89.983772,222.839050,-144.991257
1128,9.400000,-0.002962,0.008180,0.010349,-0.999909,89.724693,222.803680,-144.586182
1129,9.408333,-0.004887,0.006889,0.006988,-0.999940,90.113464,222.990265,-145.194748
1130,9.416667,-0.001460,0.007282,0.013186,-0.999886,89.748604,222.774521,-144.550659
1131,9.425000,-0.002354,0.007414,0.011379,-0.999905,89.451981,222.789688,-144.735718
1132,9.433333,-0.000864,0.008167,0.012158,-0.999892,89.543495,222.886734,-144.329102
1133,9.441667,-0.001899,0.007763,0.011698,-0.999900,89.700935,222.729294,-144.614456
1134,9.450000,-0.005245,0.007312,0.009195,-0.999917,89.749382,223.226227,-145.127472
1135,9.458333,0.001276,0.004605,0.010081,-0.999938,90.146408,222.931580,-143.304932
1136,9.466667,-0.000371,0.007890,0.010976,-0.999909,89.991531,222.791138,-143.877197
1137,9.475000,-0.001241,0.008137,0.012459,-0.999889,89.714081,222.686554,-144.675613
1138,9.483333,-0.002318,0.007977,0.010991,-0.999905,89.787003,222.720306,-144.699570
1139,9.491667,-0.004573,0.007256,0.007954,-0.999932,89.958977,222.830383,-144.985764
1140,9.500000,0.000915,0.005696,0.010157,-0.999932,90.278435,222.831604,-143.507950
1141,9.508333,0.001966,0.006280,0.010140,-0.999927,90.457550,223.120667,-143.476044
1142,9.516667,0.000888,0.005859,0.009884,-0.999934,90.222404,222.902481,-143.504333
1143,9.525000,-0.004211,0.009814,0.008496,-0.999907,90.336861,222.961929,-144.860764
1144,9.533333,-0.002024,0.007787,0.010574,-0.999912,90.043167,222.657806,-144.417526
1145,9.541667,-0.002128,0.007708,0.010540,-0.999913,89.955757,222.695419,-144.576462
1146,9.550000,-0.001538,0.007726,0.011824,-0.999899,89.764580,222.538345,-144.461578
1147,9.558333,-0.001536,0.007744,0.011397,-0.999904,89.745682,222.682297,-144.429382
1148,9.566667,-0.000817,0.008029,0.012374,-0.999891,89.688911,222.666656,-144.272293
1149,9.575000,-0.001524,0.007605,0.011442,-0.999905,89.822090,222.665924,-144.444702
1150,9.583333,-0.004391,0.007113,0.007824,-0.999934,90.183472,222.695267,-144.829361
1151,9.591667,-0.002103,0.007577,0.010423,-0.999915,90.098717,222.700302,-144.527649
1152,9.600000,-0.002798,0.007775,0.011280,-0.999902,89.844223,222.472412,-144.747330
1153,9.608333,-0.001450,0.008196,0.012316,-0.999890,89.753967,222.714859,-144.473557
1154,9.616667,-0.001282,0.008726,0.012265,-0.999886,89.657959,223.062149,-144.517960
1155,9.625000,-0.005130,0.007220,0.008427,-0.999925,90.031227,222.943817,-145.069031
1156,9.633333,-0.002363,0.008050,0.011047,-0.999904,89.857620,222.788132,-144.658997
1157,9.641667,-0.005064,0.007304,0.008242,-0.999927,90.029465,222.758469,-145.024979
1158,9.650000,0.002042,0.005550,0.009734,-0.999935,90.533958,223.083405,-143.353073
1159,9.658333,-0.002243,0.008317,0.011423,-0.999898,89.685226,222.809967,-144.575821
1160,9.666667,-0.000916,0.007957,0.012753,-0.999887,89.707268,222.799026,-144.359772
1161,9.675000,-0.001891,0.007699,0.011949,-0.999897,89.763016,222.762848,-144.539688
1162,9.683333,-0.004732,0.007008,0.007904,-0.999933,90.150749,222.901642,-145.046158
1163,9.691667,-0.001410,0.007179,0.013186,-0.999886,89.862419,222.766815,-144.569962
1164,9.700000,0.002142,0.006523,0.009704,-0.999929,90.425529,222.754074,-143.257843
1165,9.708333,-0.000156,0.008500,0.012622,-0.999884,89.563911,223.062622,-144.164719
1166,9.716667,-0.001830,0.007508,0.011907,-0.999899,89.753555,222.717270,-144.566422
1167,9.725000,-0.004844,0.007365,0.008073,-0.999929,89.856667,222.767349,-145.092804
1168,9.733333,-0.001430,0.007527,0.011774,-0.999901,89.967445,222.563049,-144.394836
1169,9.741667,0.001799,0.004537,0.009998,-0.999938,90.504311,223.121399,-143.255798
1170,9.750000,-0.000610,0.008953,0.013721,-0.999866,89.732292,222.843338,-144.300079
1171,9.758333,-0.001633,0.007794,0.010960,-0.999908,90.038322,222.675888,-144.309113
1172,9.766667,-0.004018,0.007435,0.008175,-0.999931,90.161133,222.691879,-144.777557
1173,9.775000,-0.000762,0.007229,0.011828,-0.999904,90.016350,222.771286,-144.252136
1174,9.783333,-0.001899,0.007491,0.011793,-0.999901,89.862198,222.534668,-144.541534
1175,9.791667,-0.003971,0.007730,0.008598,-0.999925,89.980812,222.768311,-144.802231
1176,9.800000,-0.001133,0.007844,0.012052,-0.999896,89.836830,222.626892,-144.410645
1177,9.808333,-0.002122,0.007195,0.011138,-0.999910,89.806870,222.679733,-144.599503
1178,9.816667,-0.000756,0.008060,0.013280,-0.999879,89.786980,222.792725,-144.343750
1179,9.825000,-0.003703,0.007689,0.011743,-0.999895,90.043488,222.246689,-144.555420
1180,9.833333,-0.008159,0.007098,0.007556,-0.999913,89.960670,221.986679,-145.751389
1181,9.841667,-0.001295,0.008032,0.012614,-0.999887,89.671021,222.788483,-144.455902
1182,9.850000,-0.001478,0.008073,0.011956,-0.999895,89.733902,222.843918,-144.478577
1183,9.858333,-0.004835,0.007287,0.008348,-0.999927,90.048004,222.848953,-145.012482
1184,9.866667,-0.001475,0.007719,0.012483,-0.999891,89.781464,222.765259,-144.519745
1185,9.875000,-0.002034,0.007796,0.012167,-0.999894,89.780479,222.644287,-144.652451
1186,9.883333,0.002465,0.006707,0.009465,-0.999930,90.597778,222.934158,-143.163818
1187,9.891667,0.001226,0.006089,0.010413,-0.999927,90.422806,222.756775,-143.558319
1188,9.900000,-0.002473,0.008095,0.011160,-0.999902,89.814499,222.859406,-144.580994
1189,9.908333,0.002877,0.007008,0.010203,-0.999919,90.481369,222.610580,-143.293243
1190,9.916667,0.001876,0.005508,0.010747,-0.999925,90.382423,222.712540,-143.340897
1191,9.925000,-0.002337,0.007851,0.011067,-0.999905,90.067253,222.516083,-144.573959
1192,9.933333,-0.001234,0.008291,0.012667,-0.999885,90.048515,222.828629,-144.337540
1193,9.941667,-0.001711,0.008483,0.011626,-0.999895,89.878502,222.610413,-144.381439
1194,9.950000,-0.003491,0.007378,0.008924,-0.999927,90.183823,222.787796,-144.745667
1195,9.958333,-0.001106,0.007428,0.012043,-0.999899,89.960800,222.641800,-144.323318
1196,9.966667,-0.003027,0.007429,0.012198,-0.999893,90.022552,222.119431,-144.366409
1197,9.975000,-0.006918,0.006685,0.007943,-0.999922,90.234573,221.996414,-145.270721
1198,9.983333,-0.001240,0.008009,0.012477,-0.999889,89.816643,222.669464,-144.398239
1199,9.991667,-0.001531,0.008965,0.012815,-0.999877,89.642509,222.994995,-144.571991
1200,10.000000,-0.004814,0.007216,0.008438,-0.999927,90.153000,222.865738,-145.016800
1201,10.008333,-0.001490,0.007922,0.012634,-0.999888,89.889351,222.721756,-144.546005
1202,10.016667,-0.001969,0.007798,0.012634,-0.999888,89.817329,222.732880,-144.638596
1203,10.025000,0.002486,0.006624,0.009619,-0.999929,90.670959,222.934540,-143.155731
1204,10.033333,-0.001622,0.008510,0.013007,-0.999878,89.663193,222.713516,-144.587463
1205,10.041667,-0.001473,0.007827,0.012439,-0.999891,89.805099,222.863678,-144.541855
1206,10.050000,0.003408,0.006804,0.008789,-0.999933,90.718857,222.435593,-143.028168
1207,10.058333,-0.001416,0.007910,0.012957,-0.999884,89.810089,222.713715,-144.628525
1208,10.066667,-0.001463,0.007275,0.012100,-0.999899,89.962883,222.623505,-144.399094
1209,10.075000,,,,,,,
1210,10.083333,-0.001145,0.008348,0.012687,-0.999884,89.801849,222.562820,-144.509537
1211,10.091667,-0.001322,0.007249,0.011971,-0.999901,89.880188,222.760162,-144.350327
1212,10.100000,-0.000326,0.007559,0.011107,-0.999910,90.262184,222.596146,-143.881058
1213,10.108333,-0.000967,0.007808,0.012625,-0.999889,89.945419,222.624161,-144.528442
1214,10.116667,-0.001815,0.007197,0.012143,-0.999899,89.865837,222.643082,-144.509964
1215,10.125000,-0.003369,0.009070,0.011295,-0.999889,90.110115,222.903885,-144.769730
1216,10.133333,-0.001184,0.008155,0.013158,-0.999880,89.786812,222.782578,-144.632950
1217,10.141667,-0.001537,0.007618,0.012468,-0.999892,89.803970,222.827148,-144.526962
1218,10.150000,-0.002162,0.008142,0.011840,-0.999894,90.141319,222.981583,-144.452133
1219,10.158333,-0.001406,0.007898,0.012859,-0.999885,89.855431,222.765640,-144.574966
1220,10.166667,-0.001982,0.007693,0.012576,-0.999889,89.881630,222.674286,-144.604431
1221,10.175000,-0.002488,0.008506,0.012115,-0.999887,89.836517,222.851715,-144.705261
1222,10.183333,0.002097,0.006369,0.009723,-0.999930,90.571564,222.834183,-143.512314
1223,10.191667,-0.001295,0.007442,0.011711,-0.999903,90.011772,222.674118,-144.339706
1224,10.200000,-0.004948,0.008809,0.008980,-0.999909,90.528725,222.947174,-145.041168
1225,10.208333,-0.001135,0.007458,0.012341,-0.999895,89.964088,222.688400,-144.367188
1226,10.216667,-0.001653,0.007430,0.012065,-0.999898,89.947449,222.535019,-144.443497
1227,10.225000,-0.002021,0.008096,0.011918,-0.999894,89.961540,222.603287,-144.337143
1228,10.233333,-0.001160,0.007832,0.012447,-0.999891,89.811768,222.729523,-144.359924
1229,10.241667,-0.001570,0.008232,0.012530,-0.999886,89.801491,222.853867,-144.555908
1230,10.250000,-0.004751,0.007389,0.008587,-0.999925,90.133980,222.888428,-144.998306
1231,10.258333,-0.001404,0.007797,0.012893,-0.999885,89.832024,222.787659,-144.500412
1232,10.266667,-0.002153,0.007829,0.012659,-0.999887,89.769814,222.669739,-144.607208
1233,10.275000,-0.004740,0.007601,0.008675,-0.999922,90.033714,222.894501,-144.999481
1234,10.283333,-0.001391,0.008059,0.013072,-0.999881,89.706841,222.809433,-144.480225
1235,10.291667,0.003315,0.006983,0.008822,-0.999931,90.664528,222.548706,-142.967392
1236,10.300000,0.001851,0.006837,0.010312,-0.999922,90.425964,222.696518,-143.527527
1237,10.308333,-0.000031,0.007728,0.013963,-0.999873,89.886932,222.772400,-143.924683
1238,10.316667,-0.002119,0.007721,0.010900,-0.999909,90.214996,222.746765,-144.487183
1239,10.325000,-0.001159,0.007189,0.013480,-0.999883,89.807266,222.801926,-144.501740
1240,10.333333,-0.003720,0.007663,0.009244,-0.999921,90.082375,222.778000,-144.742493
1241,10.341667,-0.001139,0.007888,0.012739,-0.999887,89.770271,222.696548,-144.409500
1242,10.350000,-0.001630,0.007684,0.012394,-0.999892,89.937416,222.810074,-144.521469
1243,10.358333,-0.004707,0.007338,0.008747,-0.999924,90.159950,222.842361,-145.009415
