Format Version,1.23,Take Name,Take 2024-05-10 11.31.19 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-05-10 11.31.19.221 AM,Total Frames in Take,9420,Total Exported Frames,9420,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone,drone
,ID,"D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489","D0EC16A40EB511EFEAE2C7CD3AE76489"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,w,X,Y,Z
61,0.508333,-0.002115,0.008577,0.008905,-0.999921,89.024605,222.597061,-144.623993
62,0.516667,-0.002074,0.008571,0.008949,-0.999921,89.042137,222.630447,-144.651535
63,0.525000,-0.002041,0.008598,0.008964,-0.999921,89.052650,222.628235,-144.637497
64,0.533333,-0.002078,0.008560,0.008922,-0.999921,89.046524,222.600937,-144.626572
65,0.541667,-0.002087,0.008600,0.009007,-0.999920,89.056030,222.639542,-144.635376
66,0.550000,-0.002068,0.008594,0.008934,-0.999921,89.043495,222.614258,-144.627670
67,0.558333,-0.002022,0.008565,0.008975,-0.999921,89.073196,222.638489,-144.639847
68,0.566667,-0.002075,0.008653,0.008975,-0.999920,89.038315,222.599396,-144.624527
69,0.575000,-0.002106,0.008590,0.008947,-0.999921,89.054794,222.600327,-144.624588
70,0.583333,-0.002090,0.008605,0.008939,-0.999921,89.053406,222.606827,-144.631958
71,0.591667,-0.002067,0.008618,0.008977,-0.999920,89.095818,222.624191,-144.645889
72,0.600000,-0.002101,0.008653,0.008997,-0.999920,89.094955,222.625793,-144.644897
73,0.608333,-0.002063,0.008639,0.009004,-0.999920,89.103462,222.651505,-144.645172
74,0.616667,-0.002031,0.008647,0.009032,-0.999920,89.109520,222.643936,-144.638184
75,0.625000,-0.002076,0.008623,0.008975,-0.999920,89.117317,222.637680,-144.646439
76,0.633333,-0.002077,0.008660,0.009014,-0.999920,89.117966,222.627609,-144.631668
77,0.641667,-0.002033,0.008640,0.009046,-0.999920,89.126808,222.638092,-144.614380
78,0.650000,-0.002088,0.008627,0.008979,-0.999920,89.128464,222.647583,-144.619980
79,0.658333,-0.002093,0.008619,0.008933,-0.999921,89.158058,222.642990,-144.619888
80,0.666667,-0.002051,0.008581,0.008998,-0.999921,89.136383,222.642471,-144.591599
81,0.675000,-0.002093,0.008614,0.008947,-0.999921,89.146660,222.660660,-144.597702
82,0.683333,-0.002101,0.008607,0.008992,-0.999920,89.168457,222.650192,-144.574142
83,0.691667,-0.002119,0.008595,0.008997,-0.999920,89.136444,222.662766,-144.586502
84,0.700000,-0.002142,0.008585,0.008891,-0.999921,89.134155,222.671844,-144.589188
85,0.708333,-0.002188,0.008592,0.008897,-0.999921,89.129478,222.652771,-144.582703
86,0.716667,-0.002150,0.008621,0.008912,-0.999921,89.137115,222.659119,-144.558762
87,0.725000,-0.002163,0.008599,0.008889,-0.999921,89.150070,222.665298,-144.574554
88,0.733333,-0.002178,0.008617,0.008864,-0.999921,89.140182,222.663879,-144.588913
89,0.741667,-0.002168,0.008620,0.008924,-0.999921,89.126610,222.671143,-144.579147
90,0.750000,-0.002167,0.008642,0.008916,-0.999921,89.099480,222.638901,-144.568710
91,0.758333,-0.002192,0.008633,0.008911,-0.999921,89.100334,222.640167,-144.562683
92,0.766667,-0.002188,0.008686,0.008946,-0.999920,89.078453,222.628464,-144.568329
93,0.775000,-0.002215,0.008687,0.008919,-0.999920,89.089127,222.617706,-144.577713
94,0.783333,-0.002198,0.008669,0.008933,-0.999920,89.070496,222.630020,-144.581543
95,0.791667,-0.002191,0.008676,0.008924,-0.999920,89.106209,222.651398,-144.603378
96,0.800000,-0.002150,0.008727,0.008981,-0.999919,89.054451,222.606125,-144.578873
97,0.808333,-0.002151,0.008684,0.008973,-0.999920,89.060959,222.602631,-144.570480
98,0.816667,-0.002108,0.008670,0.008953,-0.999920,89.080978,222.645721,-144.602066
99,0.825000,-0.002123,0.008664,0.008998,-0.999920,89.078743,222.631485,-144.603149
100,0.833333,-0.002083,0.008631,0.009021,-0.999920,89.079048,222.626007,-144.590286
101,0.841667,-0.002117,0.008592,0.008952,-0.999921,89.086357,222.638611,-144.611847
102,0.850000,-0.002089,0.008569,0.008999,-0.999921,89.088036,222.636230,-144.607025
103,0.858333,-0.002079,0.008522,0.009005,-0.999921,89.097839,222.661255,-144.592697
104,0.866667,-0.002087,0.008486,0.008940,-0.999922,89.109573,222.643707,-144.607666
105,0.875000,-0.002049,0.008462,0.008928,-0.999922,89.126022,222.653824,-144.603973
106,0.883333,-0.002069,0.008448,0.008882,-0.999923,89.142563,222.643066,-144.599014
107,0.891667,-0.001987,0.008388,0.008945,-0.999923,89.128349,222.659622,-144.605515
108,0.900000,-0.002101,0.008415,0.008860,-0.999923,89.131073,222.656311,-144.601303
109,0.908333,-0.002048,0.008383,0.008935,-0.999923,89.120689,222.656540,-144.578705
110,0.916667,-0.002033,0.008391,0.008903,-0.999923,89.139458,222.654968,-144.590912
111,0.925000,-0.002001,0.008362,0.008909,-0.999923,89.152245,222.664719,-144.592941
112,0.933333,-0.002021,0.008407,0.008947,-0.999923,89.135216,222.642120,-144.592896
113,0.941667,-0.002038,0.008469,0.008967,-0.999922,89.124146,222.665436,-144.581024
114,0.950000,-0.002095,0.008470,0.008893,-0.999922,89.122620,222.646637,-144.589279
115,0.958333,-0.002074,0.008496,0.008924,-0.999922,89.126556,222.620132,-144.588531
116,0.966667,-0.002035,0.008530,0.009020,-0.999921,89.132446,222.643173,-144.582397
117,0.975000,-0.002107,0.008570,0.008951,-0.999921,89.135201,222.636612,-144.594040
118,0.983333,-0.002062,0.008609,0.008990,-0.999920,89.133575,222.637238,-144.599884
119,0.991667,-0.002086,0.008644,0.009014,-0.999920,89.131775,222.643066,-144.600815
120,1.000000,-0.002073,0.008667,0.009062,-0.999919,89.127434,222.640671,-144.593262
121,1.008333,-0.002064,0.008715,0.009021,-0.999919,89.127350,222.646042,-144.594345
122,1.016667,-0.002116,0.008700,0.008962,-0.999920,89.131004,222.638275,-144.605438
123,1.025000,-0.002137,0.008738,0.009034,-0.999919,89.125961,222.644730,-144.613770
124,1.033333,-0.002141,0.008746,0.008994,-0.999919,89.099915,222.606552,-144.569748
125,1.041667,-0.002143,0.008704,0.008929,-0.999920,89.124672,222.626694,-144.569794
126,1.050000,-0.002179,0.008726,0.008971,-0.999919,89.145676,222.658768,-144.601425
127,1.058333,-0.002184,0.008710,0.008956,-0.999920,89.147491,222.649872,-144.582260
128,1.066667,-0.002160,0.008664,0.008967,-0.999920,89.158951,222.659470,-144.579773
129,1.075000,-0.002107,0.008650,0.008999,-0.999920,89.162796,222.671539,-144.571457
130,1.083333,-0.002128,0.008586,0.008917,-0.999921,89.192200,222.662994,-144.561447
131,1.091667,-0.002138,0.008603,0.008980,-0.999920,89.178413,222.684708,-144.562927
132,1.100000,-0.002075,0.008581,0.008991,-0.999921,89.177567,222.666855,-144.550797
133,1.108333,-0.002105,0.008558,0.008988,-0.999921,89.181366,222.657776,-144.557312
134,1.116667,-0.002091,0.008506,0.008887,-0.999922,89.206665,222.666016,-144.564301
135,1.125000,-0.002084,0.008498,0.008958,-0.999922,89.196877,222.649643,-144.581055
136,1.133333,-0.002070,0.008467,0.008907,-0.999922,89.199303,222.654312,-144.565140
137,1.141667,-0.002007,0.008478,0.008975,-0.999922,89.188637,222.659882,-144.559464
138,1.150000,-0.002036,0.008454,0.008967,-0.999922,89.201363,222.642761,-144.566559
139,1.158333,-0.002034,0.008433,0.008905,-0.999923,89.188683,222.655319,-144.581787
140,1.166667,-0.001997,0.008437,0.008967,-0.999922,89.191078,222.644821,-144.574432
141,1.175000,-0.002044,0.008478,0.008932,-0.999922,89.186829,222.637543,-144.588608
142,1.183333,-0.002050,0.008465,0.008940,-0.999922,89.193352,222.645432,-144.591064
143,1.191667,-0.002041,0.008485,0.008967,-0.999922,89.190681,222.634674,-144.603149
144,1.200000,-0.002018,0.008493,0.008971,-0.999922,89.188286,222.656372,-144.591217
145,1.208333,-0.002019,0.008527,0.009038,-0.999921,89.166801,222.639389,-144.593719
146,1.216667,-0.001998,0.008515,0.009035,-0.999921,89.166237,222.645096,-144.592468
147,1.225000,-0.002033,0.008509,0.008955,-0.999922,89.176308,222.639221,-144.594849
148,1.233333,-0.002033,0.008544,0.008958,-0.999921,89.164360,222.656067,-144.609146
149,1.241667,-0.002046,0.008568,0.008973,-0.999921,89.171928,222.640274,-144.611938
150,1.250000,-0.002060,0.008574,0.008990,-0.999921,89.162094,222.635178,-144.605042
151,1.258333,-0.002087,0.008605,0.008977,-0.999921,89.150864,222.660477,-144.614197
152,1.266667,-0.002123,0.008577,0.008916,-0.999921,89.137596,222.637741,-144.623886
153,1.275000,-0.002083,0.008609,0.008991,-0.999920,89.117722,222.638412,-144.618347
154,1.283333,-0.002093,0.008586,0.008979,-0.999921,89.116837,222.636124,-144.619736
155,1.291667,-0.002085,0.008619,0.009003,-0.999920,89.114944,222.654053,-144.601074
156,1.300000,-0.002127,0.008589,0.008902,-0.999921,89.096931,222.617264,-144.594101
157,1.308333,-0.002121,0.008610,0.008963,-0.999921,89.122223,222.642715,-144.623795
158,1.316667,-0.002097,0.008634,0.008964,-0.999920,89.118347,222.645020,-144.620117
159,1.325000,-0.002107,0.008616,0.008969,-0.999920,89.123268,222.625031,-144.601273
160,1.333333,-0.002102,0.008582,0.008958,-0.999921,89.139786,222.647324,-144.600021
161,1.341667,-0.002111,0.008606,0.008943,-0.999921,89.090263,222.598038,-144.572052
162,1.350000,-0.002144,0.008597,0.008959,-0.999921,89.105118,222.625946,-144.603439
163,1.358333,-0.002077,0.008605,0.008999,-0.999920,89.124474,222.651428,-144.586090
164,1.366667,-0.002138,0.008616,0.008985,-0.999920,89.122322,222.633286,-144.573730
165,1.375000,-0.002101,0.008617,0.008994,-0.999920,89.120422,222.640869,-144.561386
166,1.383333,-0.002128,0.008605,0.008984,-0.999920,89.123016,222.640839,-144.573151
167,1.391667,-0.002125,0.008549,0.008953,-0.999921,89.134682,222.634354,-144.571884
168,1.400000,-0.002128,0.008555,0.008960,-0.999921,89.119247,222.647339,-144.560867
169,1.408333,-0.002096,0.008550,0.008923,-0.999921,89.142563,222.656036,-144.555267
170,1.416667,-0.002157,0.008555,0.008916,-0.999921,89.134415,222.648865,-144.570404
171,1.425000,-0.002109,0.008560,0.008962,-0.999921,89.121880,222.659561,-144.568710
172,1.433333,-0.002177,0.008513,0.008847,-0.999922,89.154610,222.659943,-144.566666
173,1.441667,-0.002111,0.008558,0.008884,-0.999922,89.165314,222.672424,-144.569824
174,1.450000,-0.002165,0.008555,0.008941,-0.999921,89.165070,222.664627,-144.569748
175,1.458333,-0.002142,0.008517,0.008897,-0.999922,89.175743,222.657867,-144.564682
176,1.466667,-0.002123,0.008571,0.008869,-0.999922,89.155632,222.671463,-144.583466
177,1.475000,-0.002131,0.008557,0.008923,-0.999921,89.159752,222.643021,-144.565323
178,1.483333,-0.002114,0.008579,0.008939,-0.999921,89.173050,222.661697,-144.556732
179,1.491667,-0.002112,0.008528,0.008922,-0.999922,89.184822,222.659225,-144.570892
180,1.500000,-0.002124,0.008579,0.008983,-0.999921,89.156685,222.650589,-144.591690
181,1.508333,-0.002103,0.008580,0.008945,-0.999921,89.164688,222.647552,-144.583969
